#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
ABCD4	28.09	33.22	22.39	24.06	31.22	26.3	28.38	27.86	20.89	19.21	28.39	29.54	24.12	37.86	23.97	19.52	23.77	18.38	18.25	12.98	15.05	29.68	4.88	9.73	6.04	13.99
ABCE1	210.53	180.54	157.11	159.77	172.4	104.37	154.53	120.85	172.53	155.18	136.91	124.76	140.7	150.52	147.21	116.56	105.12	191.13	164.06	115.71	98.56	115.58	120.61	90.75	111.28	71.19
ABCF1	133.09	119.6	103	106.71	106.04	95.34	69.49	73.24	70.72	73.49	52.3	60.77	52.41	68.97	35.6	34.09	46.48	69.27	43.87	31.52	30.27	48.37	33.92	32.65	15.93	34.3
ABCF2	57.42	63.98	55.55	64.41	65.79	55.86	47.21	53.64	65.86	45.58	43.34	42.11	51.04	60.71	35.21	26.82	21.65	43.31	45.2	40.02	29.13	55.85	25.77	28.33	18.71	44.26
ABCF3	38.65	33.72	44.75	29.59	25.6	15.86	19.94	25.21	26	24.3	10.55	22.55	15.46	24.16	17.94	2.06	2.58	21.83	16.15	19.76	6.94	20.27	18.01	18.55	12.63	6.62
ABCG1	13.56	18.72	7.26	2.98	1.84	2.14	3.59	0.57	0.75	5.34	6.22	6.06	15.68	13.81	27.6	25.31	11.33	6.85	18.14	21.37	10.85	15.64	32.32	14.73	16.97	30.23
ABCG2	3.57	1.28	0.2	0.28	3.02	1.06	1.57	0.75	0.49	0	0	0	0	0.68	0	0	3.48	0	0	0	0	0	0	0	0	0
ABCG4	1.75	0.63	1.96	1.03	0	0	0	0.46	0.61	0	0	4.45	3.8	0.84	1.37	1.95	1.22	1.66	1.27	5.94	1.64	0	0.53	0.85	4.22	6.58
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
