#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
TAS2R13	0	0	0	0	0	0	0	0	0	0	1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R14	0	0	0.94	0	0	3.34	0	0.89	1.17	3.7	0	0	0	0	0	0	0	0	4.92	4.16	12.68	0	0	0	0	18.12
TAS2R16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R19	0	0	0	1.41	0	1.78	0	0	0	0	4.72	0	5.19	0	0	21.94	0	0	10.44	2.21	2.24	6.55	0	1.74	0	3.85
TAS2R20	1.12	1.81	1.86	4.12	0.71	5	0.61	0	1.25	0	7.79	0	0	0	0	0	0.73	0	0	5.12	5.29	5.07	4.09	8.01	0	5.65
TAS2R3	0	0	1.63	2.3	0	1.44	0	0	2.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R30	0	0	1.87	0	5.69	1.66	0	0.88	0	0	31.11	0	0	0	0	14.93	16.38	0	0	2.07	12.59	0	0	0	0	10.91
TAS2R31	4.2	0	0.88	1.24	1.34	0	0	2.48	1.09	0	9.83	0	5.83	0	4.91	0	2.2	3.98	0	0	1.97	0	11.51	6.12	0	6.76
TAS2R38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R39	0	0	0	0	0	0	0	0	0	0	2.08	0	0	0	0	0	0	0	0	0	0	1.93	0	0	0	10.18
TAS2R4	0	0	0	1.41	4.56	0	0	0	0	0	2.36	3.64	0	0	0	0	0	0	0	0	0	10.92	0	0	4.32	0
TAS2R40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75
TAS2R42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R43	0	0	0	0	0	0	0	0	0	0	2.44	0	1.76	5.99	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R46	2.31	1.25	0	0	0	1.71	8.92	0.91	2.4	0	0	0	0	0	0	0	0	0	0	4.27	0	0	0	0	0	14.77
TAS2R5	0	4.02	0	0	0	0	0	2.19	0	3.05	0	0	0	0	0	0	0	0	0	0	1.75	1.7	0	0	1.68	2.99
TAS2R50	1.07	0	0	0	0	4.78	0	0	0	0	0	4.91	1.55	0	8.36	0	6.73	0	4.69	0	0	7.84	0	0	0	10.36
TAS2R60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R7	0	0	0	0	0	0	0	0	0	0	5.79	0	0	0	0	0	0	0	8.53	0	0	0	0	0	0	0
TAS2R8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33	0	0	0
TAS2R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TASP1	18.46	10.2	17.34	7.97	20.02	9.35	12.41	8.49	8.87	7.39	7.11	15.77	7.16	9.68	3.51	5.26	5.65	15.36	5.9	10.82	6.76	6.57	0.82	11.14	7.32	4.35
TAT	0.86	0.77	2.35	0	1.59	0.74	0.25	0.29	0	2.49	8.72	0	0	4.48	1.51	3.13	2.93	0.82	2.5	1.91	0	3.9	13.56	0	0	19.41
TATDN1	182.2	132.92	118.73	153.89	148.65	130.56	114.12	123.67	101.95	81.57	100.14	116.69	113.77	103.86	104.86	132.93	201.28	125.61	85.86	95.67	87.38	71.83	62.36	45.2	104.73	53.3
TATDN2	30.04	27.09	24.43	23.79	30.81	24.83	27.67	20.91	28.69	25.71	26.26	25.17	21.72	25.83	23.07	26.12	22.88	33.76	18.73	17.85	31.79	31.72	43.08	39.34	31.4	24.85
TATDN3	16.49	4.9	14.44	14.68	21.54	12.94	29.76	15.92	20.81	31.05	52.5	38.23	29.52	28.87	38.36	38.73	46.56	30.76	33.72	32.03	45.92	63.85	48.03	50.19	19.61	82.07
TAX1BP1	84.38	64.74	82.2	79.73	78.98	81.33	93.16	81.7	106.67	131.5	125.71	123.75	113.4	114.19	161.55	154.83	108.34	137.96	162.4	169.12	159.59	199.9	193.79	138.47	152.43	144.33
TAX1BP3	121.8	155.54	119.39	110.98	116.4	99.65	119	116.33	111.88	217.42	159.84	77.5	105.26	91.43	62.47	28.28	107.72	127.14	48.79	69.54	102.77	80.62	113.46	108.32	140.36	131.58
TAZ	10.79	12.01	11.47	9.21	15.22	8.01	9.68	12.9	11.82	13.11	10.66	10.8	14.74	6.88	11.86	9	13.79	12.51	11.2	15.81	19.12	5.47	18.61	12.98	17.33	15.07
TBC1D1	50.18	61.48	58.22	70.09	53.94	63.24	70.36	52.5	56.97	39.05	47.33	45.79	54.13	34.36	38.51	48.69	42.04	50.39	39.86	23.52	26.63	41.08	20.89	25.45	10.99	13.71
TBC1D10A	4.78	0.57	5.78	2.51	5.4	6.3	5.27	9.18	6.61	8.72	16.77	7.28	9.21	3.04	5.79	20.37	7.77	0	2.32	5.89	4.98	9.69	8.72	7.73	11.51	23.92
TBC1D10B	22.79	19.37	30.09	26.51	12.64	22.86	21.23	19.17	11.65	26.87	11.41	21.51	30.63	32.2	23.51	25.69	23.49	46.85	25.92	11.27	18.06	32.23	26.95	29.9	24.35	50.61
TBC1D10C	0.7	0	0	0	0	0	1.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D12	5.12	2.57	5.67	5.18	7.44	9.5	10.89	11.36	17.45	20.43	19.87	20.63	24.08	18.1	23.1	15.56	31.37	19.43	28.76	31.46	27.46	34.41	27.06	28.5	49.59	28.7
TBC1D13	26.64	26.73	33.98	38.15	32.6	30.96	24.21	28.41	30.36	27.33	29.18	31.59	38.1	39.68	36.02	43.95	23.91	22.68	35.38	22.6	33.81	31.81	31.26	28.08	29.55	17.03
TBC1D14	61.11	66.04	74.44	77.26	93.08	72.07	66.36	62.44	70.53	64.2	73.07	43.07	62.8	70.43	68.45	67.42	61.37	75.7	98.47	76.04	104.2	78.18	66.52	104.69	83.88	53.95
TBC1D15	45.33	36.87	40.11	43.57	47	35.76	47.49	35.8	36.45	48.26	66.84	54.76	54.59	46.03	52.9	41.99	57.75	51.91	46.01	58.17	52.19	48.33	44.01	52.9	67.58	86.16
TBC1D16	49.55	49.27	34.97	32.09	36.21	33.63	37.84	32.07	40.96	34.56	26.21	21.71	43.08	48.74	57.52	42.12	71.09	45.96	47.53	32.92	41.91	54.98	52.97	27.34	40.53	21.88
TBC1D17	26.77	10.59	21.29	23.69	20.98	20.52	19.67	22.79	11.1	9.94	22.9	24.13	20	13.43	15.99	14.88	22.4	5.3	27.27	27.22	22.6	20.41	19.55	21.7	18.51	41.64
TBC1D19	1.44	5.19	4.84	9.09	13.46	7.86	13.27	15.51	11.48	23.71	16.16	19.8	16.71	18.63	27.76	24.09	13.09	16.43	18.91	25.81	32.51	14.94	41.31	15.42	25.22	17.04
TBC1D2	4.14	1.37	1.07	1.5	1.21	0.47	0.35	0	1.65	1.04	0.63	2.42	0	0.91	0	0	0	2.41	1.39	1.18	0	0	0	0	0	0
TBC1D20	11.83	14.58	17.52	17.33	23.15	17.13	17.97	18.11	21.95	21.81	27.47	33.97	21.69	22.83	27.29	20.46	40.29	15.5	35.5	24.93	21.48	26.89	39.33	24.51	30.76	24.9
TBC1D21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D22A	8.34	11.7	10.01	9.84	12.72	10.72	8.27	9.83	11.53	7.3	17.01	16.94	11.66	7.97	7.8	12.52	5.81	5.27	12.13	10.79	10.95	11.16	18.27	12.95	9.04	6.26
TBC1D22B	23.21	20.06	27.04	23.37	26.33	22.61	18.81	21.55	25.9	27.01	11.43	19.5	21.59	18.78	24.69	21.34	9.56	15.02	15.3	27.6	15.43	40.05	17.8	17.74	7.16	9.81
TBC1D23	23.77	27.51	27.49	26.63	36.88	34.7	38.39	24.26	39.35	22.42	30.2	39.58	31.6	41.5	27.25	47.48	34.27	29.87	36.97	47.52	47.18	36.4	26.43	46.67	30.46	39.14
TBC1D24	12.12	11.8	12.62	18.47	19.64	15.18	19.01	16.09	20.4	18.38	28.27	23.51	15.55	27.07	27.17	25.64	23.12	25.97	29.54	26.27	38.11	32.21	37.17	36.14	27.64	57.12
TBC1D25	2.21	2.39	2.32	3.92	3.51	6.16	3.05	6.09	3.15	1.82	0	7.16	8.8	3.17	6.03	7.38	3.47	5.77	3.02	19.94	11.93	10.6	5.05	11.67	8.49	5.34
TBC1D26	0	1.23	0	0	0	0	0	0	1.77	0	0	1.73	0	0	7.08	1.89	0	0	0	1.05	0	0	0	0	0	0
TBC1D28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94	0	0	0	0
TBC1D29	0	0	0	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D2B	13.51	8.79	11.76	17.33	11.56	12.6	10.89	8.18	16.35	15.21	12.66	11.45	11.38	14.79	16.08	9.62	6.22	9.95	12.21	10.67	11.48	8.3	7.34	9.67	8.85	5.06
TBC1D3	0	6.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D30	0.54	0.43	1.8	1.28	0.85	1.59	1.18	1.37	1.67	3.31	0	0.61	1.36	0.39	1.05	0.67	0.56	1.53	3.52	6.45	5.04	9.56	5.39	3.46	8.98	6.48
TBC1D3B	0.47	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.69	0	0	20.64	6.17
TBC1D3C	0.03	0	0	0	0	0	0	0	13.75	0	0	0	0	0	4.66	0	0	0	0	0	0	0.38	30.18	0	1.09	0.28
TBC1D3F	0	7.29	12.12	14.14	14.59	25.93	18.72	20.75	4.41	20.49	24.65	16.73	7.22	40.8	4.72	14.16	10.44	8.52	35.96	13.84	0	0	0	10.9	0	0
TBC1D3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69	0	0	0	0	0
TBC1D3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12	0	0	0	0	0	0	0	0	0	0	0
TBC1D4	61.32	39.77	40.38	34.98	38.22	29.92	32.79	22.34	20.39	17.91	18.27	20.39	21.51	15.16	9.53	11.3	15.55	10.34	8.3	8.25	5.27	2.72	1.51	6.25	2.99	1.6
TBC1D5	13.95	16.12	13.2	18.63	21.35	22.92	30.43	29.64	34.82	31.42	28.92	37.82	33.35	27.56	31.7	37.17	36.63	36.93	30.52	39.36	27.27	28.27	18.85	26.1	19.82	31.71
TBC1D7	78.94	47.65	75.47	61.28	42.49	57.3	62.51	66.78	50.77	61.54	46.54	48.66	52.61	86.82	85.32	40.55	41.7	88.36	65.62	104.01	55.7	41.17	85.47	90.81	71.39	69.57
TBC1D8	8.64	3.84	2.34	1.2	0.32	0.38	0.84	1	2.9	5.42	5.52	3.1	1.1	1.46	2.38	3.39	3.19	2.41	3.88	0.94	1.91	1.39	0.46	3.33	3.67	5.72
TBC1D8B	4.08	7.05	3.42	3.85	0.52	0.82	0.9	1.74	2.96	3.93	8.3	6.46	6.13	1.85	3.82	1.54	3.41	6.96	6.24	0.68	9.95	0.67	5.04	2.41	2.95	1.31
TBC1D9	1.34	1.03	1.93	6.34	15.11	37.28	68.72	72.66	57.66	37.78	37.87	36.81	34.39	34.09	29.59	39.98	35.69	37.09	26.37	41.13	31.3	33.96	19.26	37.97	37.77	40.73
TBC1D9B	37.7	31.31	37.56	54.88	30.6	38.48	38.57	47.21	41.61	37.5	51.2	34.17	40.78	44.84	35.6	43.59	31.84	29.66	31.89	38.04	43.24	40.58	44.71	61.11	33.09	23.18
TBCA	395.07	163.95	160.67	116.99	134.15	173.24	146.34	216.22	232.12	283.57	394.71	282.63	323.81	181.1	336.5	258.73	304.29	236.52	268.79	428.67	269.99	391.26	385.39	277.02	525.89	349.97
TBCB	78.7	82.58	105.77	109.88	106.43	119.98	58.9	132.79	87.57	75.86	58.44	48.39	84.57	78.65	99.02	95.12	95.1	142.36	107.15	60.05	94.8	110.62	86.99	91.42	84.78	41.78
TBCC	23.83	34.99	25.43	18.99	8.18	21.99	10.65	19.74	15.52	11.63	19.13	11.77	5.59	15.44	12.04	2.15	20.19	27.05	22.62	14.28	19.33	35.19	31.85	19.15	31.9	23.46
TBCCD1	22.5	22.7	24.84	21.46	26.5	26.8	31.79	31.46	29.77	26.58	32.12	34.93	40.09	51.55	21.21	26.87	23.43	53.33	54.78	31.35	41.98	24.42	34.74	34.79	30.58	39.43
TBCD	38.74	32.31	45.16	38.69	47.11	48.66	39.56	51.37	42.62	44.87	35.19	49.24	32.31	38.83	24.82	30.52	26.83	46.86	57.58	32.95	41.46	39.06	49.02	36.67	23.19	15.3
TBCE	65.55	77.92	57.66	57.67	72	52.75	61.85	60.25	61.61	51.98	44.95	46.54	48.2	44.58	56.27	36.13	51.1	67.4	50.92	67.76	53.14	30.42	51.71	22.64	41.14	17.87
TBCEL	27.73	29.92	25.21	28.59	37.89	35.71	43.83	32.07	33.35	50.67	33.07	28.81	35.94	21.37	33.43	39.65	30.63	33.8	26.26	30.96	35.47	41.03	25.31	31.45	25.05	27.82
TBCK	11.02	12.91	11.03	11.88	17.15	16.76	22.21	21.07	20.5	33.32	14.11	25.89	30.04	17.5	28.32	26.25	27.64	22.78	37.66	21.53	35.91	28.12	49.48	46.53	22.6	9.12
TBK1	37.97	49.08	80.74	103.3	73.02	55.82	55.45	37.37	32.97	37.06	28.36	46.89	35.61	32.35	50.1	40.5	24.31	35.66	23.14	51.21	42.33	68.06	38.71	41.32	53.14	51.73
TBKBP1	6.63	12.65	9.6	13.83	11.66	10.21	11	13.62	15.33	6.28	9.06	10.87	11.06	5.48	9.14	15.05	13.86	1.45	15.58	8.95	10.04	7.91	11.17	11.5	12.89	9.02
TBL1X	62.26	88.06	100.56	125.52	161.13	162.65	144.61	91.32	114.98	114.07	104.14	117.02	122.54	84.57	81.77	85.31	63.36	59.63	89.28	70.21	85.95	69.07	51.8	50.01	48.92	52.18
TBL1XR1	126.98	165.94	258.07	268.89	213.79	232.71	200.67	182.79	190.77	208.98	188.56	155.28	168.77	140.89	151.36	177.23	151.36	161	172.38	151.03	175.84	164.7	177.58	157.01	216.64	164.26
TBL1Y	7.12	7.49	10.45	15.05	11.37	9.6	11.84	12.19	6.03	15.14	2.78	5.64	9.94	7.65	7.98	9.93	7.66	12.16	9.09	2.73	11.47	10.03	0	11.33	0	0
TBL2	17.73	18	15.42	25.43	19.88	26.82	15.33	25.07	20.54	18.26	24.7	34.42	22.62	23.42	35.21	20.87	10.9	28.34	18.21	22.49	12.39	11.42	12.06	17.2	8.16	4.47
TBL3	40.36	24.19	29.35	39.44	16.06	29.64	15.73	26.27	16.06	27.44	20.92	16.77	24.17	25.12	15.25	19.71	14.49	24.73	14.23	14.32	16.82	14.14	11.91	17.21	33.88	10.49
TBP	34.24	35.46	28.44	26.94	42.05	42.79	35.87	39.3	41.49	40.39	61.41	25.68	26.44	44.83	44.41	17.66	31.34	58	31.1	57.76	65.58	15.96	21.87	38.12	21.7	16.15
TBPL1	74.72	85.82	59.18	79.62	46.96	64.37	88.56	60.62	85.78	39.57	44.41	59.97	74.35	70.24	61.35	93.79	38.63	75.75	28.06	62.37	94.93	60.13	75.55	59.63	68.22	77.55
TBPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBR1	0	0	0	0	0	0	0	0	0	0.54	3.92	7.07	11.5	7.6	14.46	6.63	9.7	2.51	2.89	1.84	3.73	2.42	0	1.45	2.99	2.13
TBRG1	12.85	16.86	15.78	16.45	16.39	25.06	18.93	19.28	22.35	10.08	31.32	33.59	28.83	28.61	23.94	18.38	23.32	31.64	43.25	28.78	29.21	38.1	33.68	31.34	42.27	69.17
TBRG4	83.25	65.61	52.84	56.97	64.7	45.41	39.48	60.81	44.94	48.26	42.61	37.09	31.56	43.6	33.68	32.41	29.25	33.95	41.14	30.49	28.15	24.52	12.12	21.18	19.66	39.62
TBX1	0.68	2.73	4.06	1.82	1.58	5.14	0	3.62	0	0	2.67	12.19	6.8	18.77	13.12	46.1	35.71	17.37	19.11	5.03	1.36	0	10.35	7.63	8.86	18.74
TBX10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX15	1.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0
TBX18	0.26	0	0	0	0	0	0	0	0	0	0	0.79	0	0	2.02	0.43	0	0	2.26	2.87	0	0	1.42	0	0.94	0
TBX19	0.37	1.62	0	3.98	2.85	0	4.13	2.05	0	5.53	2.22	1.14	4.33	2.15	2.33	2.5	5.48	0	2.45	1.38	0	0	8.2	9.81	4.73	2.18
TBX2	0	0	0	0	0	0	0	0	6.47	9.22	0	0	0	0	0	0	0	0	1.36	0	0	0	0	0	0	0
TBX20	0	0	0	0	0	0	0	0	0	0	3.06	0	0	0	0	0	4.87	0	0	0	0	0	0	0	0	0
TBX21	0	0	0	0.49	0	0	1.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX22	0.94	2.03	0	1.11	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52
TBX3	0.45	0	0.19	0	0	0	0	0	3.47	0	0.43	0	0	0	1.04	0	0.47	0	0	0	0	0	0	0	0	0.05
TBX4	0.85	1.7	0.37	0.69	0	0	0.94	0.76	0	0	3.3	0	2.48	0	0.64	0	0.62	0	0	0	0	4.31	0	0	3.1	0.92
TBX5	0	0	0	0	0	0	0	0.46	0.3	3.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86
TBX6	0	2.54	0.99	0.7	0	0.87	0	0	1.22	0	0	0	2.56	0	2.75	0	4.93	0	0	2.18	0	0	0	0	0	1.9
TBXA2R	5.39	4.86	2.25	2.19	3.52	4.52	4.98	2.5	5.06	6.54	5.71	2.61	10.44	10.66	2.96	0	0	5.68	7.53	11.18	5.01	7.43	8.49	7.99	0	51.68
TBXAS1	0	0.48	1.26	0	0.64	2.97	0	0.79	1.04	3.29	2.2	4.08	1.29	1.44	7.02	2.51	0	5.7	0	1.03	0	0	0	0	0	0
TC2N	26.1	36.37	20.94	9.75	4.7	3.55	1.68	0.34	0	1.43	1.72	0.99	2.2	3.12	3.39	0.36	2.73	0.41	0.47	0.4	1.22	0.79	0.4	10.45	5.5	7.01
TCAP	0	0	0	0	0	0	0	0.88	0	0	0	0	0	1.6	0	1.86	0	0	0	0	0	0	20.37	0	0	0
TCEA1	224.52	324.1	283.06	264.89	220.51	234.66	199.26	225.21	238.27	224.27	175.05	246.37	261.94	250.98	215.02	253.85	245.84	207.78	200.98	228.63	261.15	257.21	250.07	199.39	269.47	166.53
TCEA2	6.17	13.97	15.49	30.55	27.43	33.85	53.7	28.59	51.14	43.77	65.74	42.6	44.2	50.38	56.7	30.37	66.62	32.05	44.41	47.87	53.67	49.86	68.85	45.77	46.99	41.85
TCEA3	0	0	0	1.58	2.56	0	0	1.58	2.78	1.1	5.3	0	0.97	4.81	2.09	0	0	0	0	8.68	0	0	7.35	0.98	0	8.63
TCEAL1	5.37	0	5.25	6.34	1.14	9.3	6.91	5.63	8.35	27.93	0	12.28	5.18	24.38	27.91	22.4	3.74	16.98	27.36	8.28	20.15	22.88	29.42	26.06	77.65	34.57
TCEAL2	36.21	30.41	31.77	12.09	25.04	26.98	29.24	41.25	20.15	33.54	23.33	32.72	23.91	50.2	28.81	15.66	30.41	51.69	42.47	17.98	74.81	55.02	47.95	128.95	112.47	88.7
TCEAL3	30.3	21.79	20.17	22.7	22.03	28.55	23.29	24.83	27.93	61.59	70.27	21.99	27.34	30.32	40.48	76.17	19.89	27.36	52.03	58.45	28.87	49.18	61.46	43.41	73.58	58.85
TCEAL4	137.53	87.98	73.53	77.83	67.51	89.41	56.44	75.83	111.03	94.4	137.97	58.27	87.98	118.99	120.79	91.85	125.53	90.02	112.65	155.36	140.13	111.69	199.44	224.63	223.45	178.29
TCEAL5	5.64	0	0	0	1.14	0	3.03	0.72	0.95	1.51	0	4.19	5.77	0	0	0	0	0	6.45	1.91	0	0	0	0	20.99	0
TCEAL6	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0	0	0	0	4.55	0	0	0	0	0	0	0
TCEAL7	20.77	23.39	38.52	52.21	86.08	58.96	97.56	134.87	173.2	105.26	169.38	129.32	111.01	151.45	152.01	115.97	81.19	166.08	199.08	163.59	269.34	174.76	156.62	191.91	220.26	305.14
TCEAL8	160.5	118.62	103.04	89.79	87.16	76.67	110.4	61.69	66.23	97.8	85.33	138.83	96.47	39.18	118.61	97.15	80.54	39.19	96.23	70.87	72.78	120.74	107.85	73.85	159.56	63.49
TCEANC	2.17	2.93	3.04	7.38	0	3.58	0.6	1.32	0	8.02	1.07	3.31	2.46	0	7.7	0	8.31	3.62	0	0.62	16.28	0	3.96	3.16	0	1.79
TCEANC2	18.74	19.27	23.09	20.47	26.74	24.1	13.99	19.84	22.32	34.39	22.06	25.87	28.05	30.2	15.76	31.64	23.76	17.34	20.54	14.36	27.42	24.57	5.48	37.72	13.39	26.77
TCEB1	27.97	15.67	18.83	15.94	23.8	21.04	30.04	18.84	32.96	19.55	32.72	32.19	39.77	29.49	13.16	23.14	23.51	32.46	27.34	27.62	18.12	38.88	36.59	50.89	16.71	89.76
TCEB2	123.47	127.34	133.76	107.1	96.91	88.9	108.08	115.59	60.23	116.24	71.69	63.61	94.52	44.24	107.52	81.75	91.1	106.71	106.99	117.46	122.6	66.29	215.43	87.21	0	105.16
TCEB3	65.6	61.59	55.45	45.23	57.11	49.93	36.62	41.51	40.62	48.6	34.9	26.93	34.49	52.6	43.81	26.64	51.21	44.41	46.02	52.36	50.33	56.38	28.77	47.12	42.71	45.23
TCEB3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB3CL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1	125.51	85.86	102.67	105.15	121.53	109.95	137.76	95.45	113.07	121.46	117.74	163.52	145.96	120.83	134.82	86.62	104.88	118.76	114.49	99.79	92.18	98.55	77.16	85.28	67.63	95.87
TCERG1L	10.1	5.23	15.56	16.68	9.75	2.4	8.02	3.18	18.01	25.87	25.52	0	0	2.32	3.78	0	15.2	3.83	1.76	2.24	18.95	7.38	10.33	18.23	2.92	11.7
TCF12	57.84	66.89	84.08	92.79	131.94	119.77	127.53	118.43	130.77	129.58	144.94	143.91	138.36	166.27	161.61	178.65	199.96	118.17	118.58	112.73	114.39	129.95	89.91	140.03	81.25	69.96
TCF15	16.55	2.82	2.19	1.03	0	1.29	0	0.68	0	1.43	6.88	0	3.78	1.25	0	0	0	0	0	0	0	0	0	0	0	0
TCF19	18.2	23.46	21.5	31.17	33.89	17.97	14.69	19.99	24.63	19.39	12.26	20.91	16.47	49.95	36.81	13.24	32.46	58.22	23.35	19.13	21.36	24.57	48.68	41.35	17.46	7.77
TCF20	62.82	46.74	60.24	66.44	66.06	62.63	37.25	42.33	41.46	39.82	45.04	46.63	47.82	43.88	35.6	52.26	67.64	51.19	48.62	49.33	53.9	53.62	97.01	78.07	34.72	50.65
TCF21	0	1.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.09
TCF23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF24	2.16	0.47	1.81	0	0	0	0	0	0.45	0.58	0.84	0	0	0.59	0	2.88	0	0	0	0	0	0	0.79	0	0	2.74
TCF25	39.37	50.58	58.08	61.38	72.67	66.76	45.47	61.12	78.72	60.79	86.06	46.41	62.36	70.54	74.78	55.5	50.96	62.21	67.5	51.12	62.42	88.14	89.84	70.27	77.91	51.28
TCF3	135.01	159.75	174.78	207.36	206.12	209.69	204.71	181	155.35	163.57	146.01	177.95	183.71	160.96	138.08	180.24	156.83	174.95	146.44	141.93	122.75	140.49	120.23	140.53	102.14	84.07
TCF4	79.21	89.68	103.54	99.35	108.74	124.39	122.42	88.55	88.24	101.17	100.91	100.94	111.9	74.8	98.43	94.11	89.22	59.45	82.23	88.43	108.67	94.23	117.33	139.12	127.3	95.11
TCF7	5.71	5.74	5.03	8.2	6.17	6.33	4.11	9.92	7.28	10.66	17.42	7.82	9.71	17.67	9.38	7.06	7.03	2.12	8.31	0.48	4.18	6.14	1.42	0	0	12.27
TCF7L1	109.33	107.02	94.85	48.26	25.3	22.56	35.12	44.95	33.77	45.76	66.46	59	67.53	40.94	51.34	62.78	31.03	23.33	28.44	20.08	20.37	15.2	17.84	22.66	14.39	12.81
TCF7L2	81.41	121.22	106.72	120.22	131.51	105.57	143.06	83.68	99.93	88.04	64.84	88.74	118.62	63.64	57.78	76.59	62.14	35.65	49.23	54.75	12.23	21.33	27.5	14.63	19.67	19.76
TCFL5	15.94	18.13	25.24	21.35	26.82	24.93	21.37	32.5	20.54	26.17	34.02	29.53	31.77	28.4	24.17	12.93	30.62	17.15	25.38	21.5	24.24	27.52	13.37	24.45	16.34	6.93
TCHH	0.61	0.49	0.64	0.9	0	0.68	0	0	0	0	1.8	0	0.44	0	0	0.51	0.96	0	0	0	0	0	1.67	0.89	0	0
TCHHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCHP	5.8	9.57	11.7	17.7	18.63	11.13	15.19	11.53	18.38	13.44	19.81	9.87	17.3	12.71	4.78	6.82	15.69	16.16	11.91	14.5	5.76	8.09	6.85	7.45	3.08	1.1
TCIRG1	7.04	6.75	3.93	4.15	3.48	3.48	1.42	2.37	4.01	2.57	5.09	4.17	0	3.48	1.34	0	0	5.7	1.88	0.72	0	2.14	11.77	0	0	1.38
TCL1A	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCL1B	13.76	7.92	2.3	0	0	0	0	0	0	0	0	0	0	0	4.29	0	0	0	0	0	0	0	0	0	0	0
TCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCN2	29.67	39.74	30.4	36.44	29.1	33.4	17.61	22.92	9.54	14.28	12.12	14.81	16.17	19.85	8.3	1.78	7.79	3.88	9.3	2.95	6.99	0.97	0	4.47	2.89	3.43
TCOF1	105.73	88.85	95.4	100.43	62.49	70.99	61.1	60.04	57.85	33.61	32	34.88	30.43	26.94	20.71	18.41	18.98	27.9	20.78	11.72	15.42	18.68	11.96	16.38	10.95	14.62
